Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
3 Ninjas Kick Back,3 Ninjas Kick Back,3ninjaskickback,USA,1994-11-19,Malibu,Sony Imagesoft,#players:2:alt #genre:action>platformer>hackandslash #based:movie #compatibility:superfamicom>lorom #lang:en,c638c1175840c6640d897951daa73637,b619576a51a3968e243028a830a455d40cf92e78,2ffe8828480f943056fb1ab5c3c84d48a0bf8cbe3ed7c9960b349b59adb07f3b,dbd6c1e733cb150a927554360d302a68f507cea73bcf933baee08af3c046950f5aaa65bd8bf916e728d9edc77abef22b13f246f5d2b72c4f780bb98f16007451
3x3 Eyes: Jūma Hōkan@3x3 Eyes 獣魔奉還 サザンアイズ,3x3 Eyes: Jūma Hōkan@3x3 Eyes 獣魔奉還 サザンアイズ,3x3eyesjuumahoukan,Japan,1995-12-22,Now Production/N-Tech/Tetra/Music Worx,Banpresto,#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #compatibility:superfamicom>hirom #based:manganime #lang:ja,7e55ee60aa3f1e37f7a7a006201ec035,b6214c20d83d70f6f83a79f4496486e30f424e17,8765dd8b12b949db397f391a512b50d00489b162600cd54b688ea8942e6972a1,e94bc444164270ee0a01f0f9c48a68388ee1ef6d831b130a75d1ad6612a3f4e782ccae3767eda92aabdb405803ffa46fc641f8567355f934d29d110326cc2062
3x3 Eyes: Seima Kōrinden@3x3 Eyes サザンアイズ 聖魔降臨伝,3x3 Eyes: Seima Kōrinden@3x3 Eyes サザンアイズ 聖魔降臨伝,3x3eyesseimakourinden,Japan,1992-07-28,Nova,Yutaka/Bandai,#players:1 #genre:rpg>j #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #based:manganime #lang:ja,e9140405887a1d5f32aa009f1e2cd0da,3b04986bd3ba2a5e49155cd395f51d2389bffa51,18bfcf94d403b6445034c93f38a4aebe808aa9eb37674460a787ce66d30205c3,f6d33223bf119516b0db2b28aef3dd55a6edb05ab465ff525a40d37186293a5b1808c8c416476fc109fdb2a1d8e0e8dcf9f1a56646e5f139b48716ede9f4eaf3
4-nin Shōgi@4人将棋,4-nin Shōgi@4人将棋,yoninshougi,Japan,1995-07-14,POW,POW,#players:4:coop:vs #genre:board>shougi #compatibility:superfamicom>lorom #lang:ja,85c9029c63ac3a61191303d957e37259,c8f24de4078170d14c729083a29758f05051c27b,ce4b27191d5b60777edc5bc6686ce127270bbf44c3e4d51639bcf75d95922285,a9d01f9a5e67b847e4c84ae3357bebd57cf96b59585b2c5f08be47e814730a18a67b4ddadec5ffc1450946b3921a5a3a26850c4c0147ced210bd522793cec684
46 Okunen Monogatari: Harukanaru Eden e@46億年物語 はるかなるエデンへ,46 Okunen Monogatari: Harukanaru Eden e@46億年物語 はるかなるエデンへ,46okunenmonogatariharukanaruedene,Japan,1992-12-21,Game Plan 21/Almanic,Enix,#players:1 #genre:rpg>a #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #lang:ja,116b082005e47a83d3e87ff97c525530,6a9c8fb28eb524fc26561f9e193380edab3a8a58,b150a13cb11c040f0910abd444ab9ae38670096ba816745a8bbb4761f813b06e,9bb95020f1f0d6a0104cea6650b0fd7ad691e9d8854c3e4d61495b6d24410632224971b2befa2f1729e388e2c581a4bad7270a18a7ed3f1ae68c1101260fceaa
90 Minutes: European Prime Goal,90 Minutes: European Prime Goal,jleaguesoccerprimegoal3,Europe,1995,NAMCO,Ocean,#players:2:vs #genre:sports>soccer #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #lang:en,305d00418b1302139fa01fb1640e2c65,c46a2a6aacd0e338f11b7ef0abf8c79cc81433fe,28726275ad99c6eecb08861ac06962d0bda8be6464272162d1ff458e8d76c9f7,578ac80137a205b8525c09c1c809703e29929770b44121183c16c006270ce9b2482a37268f755349332e25eb4011cfa95191e0e0bc9a3b362431da540c035a35
90 Minutes: European Prime Goal,90 Minutes: European Prime Goal,jleaguesoccerprimegoal3,Europe,1995,NAMCO,Ocean,#players:2:vs #genre:sports>soccer #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #lang:en #unfinished:beta,d454032507d36283be629d6cddcbb19f,8190236d93471bb78e0cda16a90ea0fee847b3f8,0e5f982078052b2a2199a588b6d4ab93460ccbebf9d57cd8cfd335b0b6b61961,f1f5e1c37777c3851853f461ce03ee03f20d778e355252d759c7c228c38e02b589f4ac73a0c838f057ba0e33c600dd4584a99af70736ef59887e851b0e8c3e83
'96 Zenkoku Kōkō Soccer Senshuken@'96 全国高校 サッカー 選手権,'96 Zenkoku Kōkō Soccer Senshuken@'96 全国高校 サッカー Soccer 選手権,96zenkokukoukousoccersenshuken,Japan,1996-03-22,Magical Company,Magical Company,#players:2:vs #genre:sports>soccer #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #lang:ja,3369347f7663b133ce445c15200a5afa,005ccd8362dc41491f89f31fc9326a6688300e0c,b2229302c1561f8a7081534f3f27de0f130864cc7c585730ada4be9ced36df4d,a229c536e0608c0fc68b1d0ccf9b6a2bf98a706fbfe5807db743a5484c35a9961231d0eb6531d6633ada588bdedc63b806bd079ef3e7c344b1b122cc1f4fae7e
A.S.P.: Air Strike Patrol,A.S.P.: Air Strike Patrol,desertfightersunanoarashisakusen,USA,1995-01,Opus,SETA,#players:1 #genre:shmup>i #embedded:backup>battery #save:backup #compatibility:superfamicom>lorom #lang:en,ba031908e769425e737ce35700f818f5,57122ef7a84fbe0355ecc7e0648e39f56854a5f6,69c5805ad0494703e7d636d3d40d615d33e79bebef9d2cdb4a23b73d44c7b6f9,953e2588df516d1a2579dd09dbb51b213f338790649836a177e4341bc62b2c017722fda9893033a0103f947bd6cc4d66af4244afdca28ad2e69c063c0b780b2c
Aaahh!!! Real Monsters,Aaahh!!! Real Monsters,aaahhrealmonsters,Europe,1995-11,Realtime,Viacom New Media,#players:1 #genre:action>platformer #compatibility:superfamicom>lorom #based #lang:en,7c688bf357106d21ce61f528979eb90e,ed042967a8528405ba7c67f9bad0af624e8c8497,ec3e81d628a293514e303b44e3b1ac03461ddd1da32764b10b7fab1e507602df,502e6ee39e7bb3f58db17cbb3a7c5afcf01feca14b218a7fe29514c0b96ce9eea54a1daa6290b49baabc0853b0bfe80db43d2545e361c6ba743cfb61ac8d1056
Aaahh!!! Real Monsters,Aaahh!!! Real Monsters,aaahhrealmonsters,USA,1995,Realtime,Viacom New Media,#players:1 #genre:action>platformer #compatibility:superfamicom>lorom #based #lang:en,e4e77b581700a6cd58e711ee02b1a61f,7a4452f38c76a1faa50aec790e7e38b069b2471e,ce164872c4f5814bce04cf0565edcdb5b7969ae95a3b5cd515cfb626b5cde7b3,27ac654d670cf16300d4710ab69410f6c3e83846f6a6e68a311eb92292297b07ed83a47f2598fac06388da1321cd35db6505a7757f7dbef332802d6e55c57fd5
ABC Monday Night Football,ABC Monday Night Football@ABC Monday Night Football: ABC マンデーナイトフットボール,abcmondaynightfootball,Japan,1993-11-26,Kuusoukagaku,Data East,#players:2:vs #genre:sports>football #embedded:backup>battery #compatibility:superfamicom>lorom #based #search:keyword>official #lang:ja,931b0f1da8faedf8fe986d78f946665f,da723818ef4162532b20ee60061aa784ae6762e3,412dea81dcb942dd0677fa9fb82c66c730f58705ed635490fbdf84f5834cd833,0b9caa8eeb16d86b8420edc89ccaa6b9c962e0f199c2fd90e2d2d8798078dc8872c7f93f81bcf212f300dd4271ed6038d320050a1591786b40c1b117c95eda0d
ABC Monday Night Football,ABC Monday Night Football,abcmondaynightfootball,USA,1993,Kuusoukagaku,Data East,#players:2:vs #genre:sports>football #embedded:backup>battery #compatibility:superfamicom>lorom #based #search:keyword>official #lang:en,acaab9b12349f4aa3c6669878dc35ef4,8c6b2b1cd45cf486b64b0f544a34d2d1286c782f,bb83f982961c33b81fefc1f545e18ab572d1c43cf6c241948544f05a1a71f2ba,c96499f0ac8e8135cfc2302787c68959b555005a15f3647804001c068c5bf159bf181c876794d6c39d7684bd89f0332e4284a3ee702cd71e0bf307d0f25a05f0
Accele Brid@Accele Brid アクセル ブリッド,Accele Brid@Accele Brid アクセル ブリッド,accelebrid,Japan,1993-11-26,Genki/Opus,Tomy,#players:1 #genre:shooting>rail #compatibility:superfamicom>lorom #lang:ja,70688d5943868455f6c515dab44dbf57,8c9b8623d51d646631c0e5bc592440db4cfd1eab,9d5664d2b240a3b16ab8717a96c6d59e773ae6a3826e083ede41c3cce122fefb,46ac523ee11309e06e5135ca3af1ab5cdcf5a709754928ebc81e2a6cf7e5f8f963128a41535c25eee3209b0e47b26e49cac16840e1f4bf841daba07ceb1f56a3
Ace wo Nerae!@エースをねらえ!,Ace wo Nerae!@エースをねらえ!,acewonerae,Japan,1993-12-22,Telenet,Telenet,#players:1 #genre:sports>tennis #embedded:chip>dsp1a #save:password #compatibility:superfamicom>hirom #based:manganime #lang:ja,572cf198450d3424da503f93d4e6ac85,065bf1bbf4662383e2e42105ad76e0ed93213a57,9c9373e2a078ae47469d835fb4750ad0e4a46156c73baf573d3fabd132f5c184,38cb25b73cb75a368db7b76eac3f8d622cbb09646c1b9d6a9d5649b09b801ae94e3cb56ce60f9be3b3ae8ae87ead00f413b4ff31d68d6864aec2c9dc6f22be4a
