Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
4 Nin Uchi Mahjong@4人打ち麻雀,4 Nin Uchi Mahjong@4人打ち麻雀,4ninuchimahjong,Japan,1984-11-02,Hudson,Nintendo,#players:1 #genre:board>mahjong #lang:ja,44f219c48d7b62798d814efacf164865,ea172299af323a27177c897cf340e3544ef3d089,6a41f126b401cda0fc751981f586f8e67dfa9156a4aa2c5fb79a99e4ca9911d5,0d6b668d68e3604ed38c887ab6526f7e37a7134029bb96b454accd3c03f91c680b5046839b2fd7bc3c1ff63f6fa90450872ecb42a2979293ae50b14d23052de4
4 Nin Uchi Mahjong@4人打ち麻雀,4 Nin Uchi Mahjong@4人打ち麻雀,4ninuchimahjong,Japan,,Hudson,Nintendo,#players:1 #genre:board>mahjong #lang:ja #rev:1,6d106b111eb177010329f7778468f79d,15efa139e1ffdb8c35c400dcbb775b86bff80103,13f795d3a8588175f065649fe9954950c775f1b8e59d8a09619f8978241d0541,b2c2ff1e0f842afe7107c3c9c3bd31458dfb3b93171ee3713e8e81a1bee1425e48f172d1586e4dd72e8994de246619e729e16c749249ff49cded021f03c90e65
8 Eyes@8 Eyes エイト アイズ,8 Eyes@8 Eyes エイト・アイズ,8eyes,Japan,1988-09-27,Thinking Rabbit,SETA,#players:2:coop #genre:action:platformer #save:password #lang:ja,f0629c17b2de7ab1d5f0c434f0588c7e,a6e7be3bff296d0028597cba0510ef9690b3cab6,1dafe2652523b8fcd37905da701dcf05f7bc36f466b33da1a2e13bff958d87d9,1ec4504792d1daa72b90d72737997d8c8fb8546cec812ef85b179a975aad51339143bad9904f96ba1ac739de70ae2d5183b53476ed6d87e01e9d25152abf70b0
8 Eyes,8 Eyes,8eyes,USA,1990-01,Thinking Rabbit,Taxan,#players:2:coop #genre:action:platformer #save:password #lang:en,ada436501f575fb9b4e0651bc54031e2,5ebc28b21fd57f54bf3f663aaa2b6f170a790184,758258b780b75ee9bc69baa4aaaf7e8b468c5f248075eaf2c38361465e57d93c,fd482ec7383a23165660fbd86059d8ac6a6a576c0b6fe80cc72910ea8843c8cbe25c92a6a1bb139c3c125f7e9ed09b507c87772c3074917d7879d60226831c0a
10-Yard Fight,10-Yard Fight@10-Yard Fight 10ヤードファイト,10yardfight,Japan,1985-08-30,Irem,Irem,#players:2:vs #genre:sports>football #port:arcade #lang:en,1378270f6cf90095b7fea1e6648503a4,2a91760c828b26adc765ba9b0322fb770089e391,82e8e0cc827e061ff9d5707ec60a2658acbd47814b29ab58b122e526bc949149,ed94f740ef2969cad2bdc8ef21ebf238ea5fc0f1a7a53c2cb0eb2fdf1360489acba077c3967c74372ad7852420a1b33d835b4297623f170edbaff021f52a7d29
10-Yard Fight,10-Yard Fight@10-Yard Fight 10ヤードファイト,10yardfight,Japan,,Irem,Irem,#players:2:vs #genre:sports>football #port:arcade #lang:en #rev:1,1e2ec36ed66519dd03a52f1847e9d56d,5b073d8dfffe1fef85a047c2b7b063f9451c9350,7861d4e443dd02d9c06442d135ce64c098b772359a94708a52006a061709cf0c,b1ca7bc76dc6115ccaa35e56dd8fe2aa26ac3bbd51e688426f7b500a095d172770837526fe6fced72c608983b38b1d9d192b1f14fdc914f42c8224fd2d7c5af4
10-Yard Fight,10-Yard Fight,10yardfight,USA,1985-10-18,Irem,Nintendo,#players:2:vs #genre:sports>football #port:arcade #lang:en,7b1d38579ede25e20b3aaf870be69c42,67f60e1d139dd85baef455b3b1228fbb5059bdaa,d32fbacaa21b9c99f9d0e84b91ffec935534f6fdca2dbb0cd1d1ef2e870eefdf,ea7e57e9ab302580177c1e8af026e57dee341784c2fa54133418ec4593ad55ce9970ad41594a29dd4938e9e2953a983200b4bca72f86f66b24eee9909f9486b3
10-Yard Fight,10-Yard Fight,10yardfight,Europe,1986-12-06,Irem,Nintendo,#players:2:vs #genre:sports>football #port:arcade #lang:en,7b1d38579ede25e20b3aaf870be69c42,67f60e1d139dd85baef455b3b1228fbb5059bdaa,d32fbacaa21b9c99f9d0e84b91ffec935534f6fdca2dbb0cd1d1ef2e870eefdf,ea7e57e9ab302580177c1e8af026e57dee341784c2fa54133418ec4593ad55ce9970ad41594a29dd4938e9e2953a983200b4bca72f86f66b24eee9909f9486b3
10-Yard Fight (Retro-Bit Generations),10-Yard Fight (Retro-Bit Generations),10yardfight,USA,2016-11-10,Irem,Retro-Bit,#players:2:vs #genre:sports>football #port:arcade #lang:en #rerelease,1a73ca95a7cbbbbb39be186d3d2c47e7,d668a0b0e69141ee6c3c67cef6845017d55f55c4,5f4c9d53ddd05cfb8de92fea251d1a49d5743a076a8f35f3d9d7d49bc935d7b2,edadbcf8d622daa05ece7515ec00f71ae73723b2b0510b933902035b452ad8f62d48cabc97611ae517ef27d24676ba32e43ac0763b732e63a1adb4f09f0a876c
'89 Dennō Kyūsei Uranai@'89電脳九星占い,'89 Dennō Kyūsei Uranai@'89電脳九星占い,89dennoukyuuseiuranai,Japan,1988-12-10,Jingukan,Jingukan/Polaris,#players:1 #genre:application #lang:ja,44091221ff27af8f274f210dec670bb1,b4cbebec2a49f8bf5454a39424dff567c50d901c,e528c956eab225ad74b83d0eae2f280de8e4849e0341cf1d081b2b1ba5d787b3,552740db17c2dc2c96aafca39f860514020109eb40cd664e949090365638b0ac59115e8b4e9b975e4013a20dea9a31dfed71d41d06311955a112b055eff14115
100 Man $ Kid: Maboroshi no Teiō Hen@100万＄キッド 幻の帝王編,100 Man $ Kid: Maboroshi no Teiō Hen@100万＄キッド 幻の帝王編,100mandollarkidmaboroshiteiouhen,Japan,1989-01-06,Sofel,Sofel,#players:1 #genre:cards:minigames #save:password #licensed $manganime #lang:ja,9a3d56dc0f7dbb61e0e6dccdeba40160,bd3f155e1097ecc434fd1f0c6ae9f5c093eef83e,8a506e04eceea3e7cd36f925c6116b05454224dfc35d6f18a5f64fc536d1f789,b28807f3c031a7f181ca4212769145c8231119cf0265ea01f5276eddaebb8c2f37d97fdbb57f18e4821e3c9d5cd094ca4eafe6948e0adce281f532683ca3ac9e
720°,720°,720degrees,USA,1989,Beam,Mindscape,#players:1 #genre:sports>skateboarding #port:arcade #lang:en,7a3d0a025c2d73a42ceed45ad9e95df4,267a18051a695a373fa1cf6262a9403356d6552f,a7feba645df8f1f81e8a2a45a1032c839aeb264fe5aef5049663eb5caf003e00,8067b52e87954bd19f0b11c9cc83f530827090eac81be271e84350eed1e5e7c92bbbb354d589206e5e8884416338af888530205f6d0bf4daadb879b903dbe8f5
1942,1942,1942,Japan,1985-12-11,Micronics,CAPCOM,#players:2:alt #genre:shmup>v #port:arcade #lang:en,073f7e6bd3da86bd1e1d5e3abf525d7e,1fc8410c271441b313ad4b382fbe9dcd9eefb6cb,dea6d0e536bf0ca722ecd8c9f61f05030721c28eee33aea25505044ed3ba051c,b22cf270b4f562b772597effa1c1a9ba253cd378e217e7a3bfc986dda6667adb04deb68498d44c40d7a9533fad5bff2153fb67b2b38ec70e234b423ebfa7e96c
1942,1942,1942,USA,1986-11,Micronics,CAPCOM,#players:2:alt #genre:shmup>v #port:arcade #lang:en,073f7e6bd3da86bd1e1d5e3abf525d7e,1fc8410c271441b313ad4b382fbe9dcd9eefb6cb,dea6d0e536bf0ca722ecd8c9f61f05030721c28eee33aea25505044ed3ba051c,b22cf270b4f562b772597effa1c1a9ba253cd378e217e7a3bfc986dda6667adb04deb68498d44c40d7a9533fad5bff2153fb67b2b38ec70e234b423ebfa7e96c
1943,1943: The Battle of Midway,1943,USA,1988-10,CAPCOM,CAPCOM,#players:1 #genre:shmup>v #save:password #port:arcade #lang:en,3948924cefe485a5f52fe7af4e3abd25,395746b85b734cc926f0e126ecdf8b41091e3694,a37ee528213c01b3b84705165e700546a72f473cb7ab84c04bbf381f07971942,15c8312623ae790009c54eb226339d2c6f6a84f677e4f4bc69b6e4badb0e3d5d65ff0a44a6872889abb7e7aa786be21bc5f336fc1c85d9c32bfbe75484fd0f93
1943 (Retro-Bit Generations),1943: The Battle of Midway (Retro-Bit Generations),1943,USA,2016-11-10,CAPCOM,Retro-Bit,#players:1 #genre:shmup>v #save:password #port:arcade #lang:en #rerelease,e015eee34a78c49df6fc10443433b888,9cdf4fb1fcba708f2e217ae42d2d50a117c5f940,e1cdc027354eefe3c6536b5c3b3d8ebb9ca8609eac0926e8459502062647b4e5,e431447b5256e130e6a29e57312e02024e4a19a2fb27c4bba8f92557e8a0d82ffb36a5f7018d0237052fd5259f10f9a97cacf355b7a5c9ad97e3732613f85da6
1943,1943: The Battle of Valhalla,1943,Japan,1988-06-20,CAPCOM,CAPCOM,#players:1 #genre:shmup>v #save:password #port:arcade #lang:ja,fd5b7f1d4795005d8a62f074ebcf2e67,950c2aced4c1d4c47e988f96c77447349f3cb5ab,678623df3ea111871700ed2e7d05c51f46da2dd36a28947c67ceba163b2c16a8,c383afd5f1a1b487e8c29c62ec7dfde384ce0f67e0d21be4018b3f03a4e24f24df28f20767debabb79bf9418fd9c8703fe0721062f5221db9d9faaf11ec368e1
1943: The Battle of Midway,1943: The Battle of Valhalla,1943,Japan,,CAPCOM,CAPCOM,#players:1 #genre:shmup>v #save:password #port:arcade #lang:ja #unfinished:beta,683c3b9e927b821d4d9a9f4525c82594,3a9f88687f5d252fb485c3c28858e6ee74187f35,faf27b05d45777a9b6af777569fcac1bca4414252d0c0b6a797a1c3771e3ed99,ddcce4354d62677e7cce1ea16c02b6a0239cfb0e4dca5cb9b1f633b88f2ef0bb635eb9f75b220e76254f26331aafe720501b8cec67e5b214eab5313c6b22bf16
1943,1943,1943,Japan,,CAPCOM,Nintendo,#players:1 #genre:shmup>v #save:password #port:arcade #reboxed:famicombox #lang:ja,cc486366f43f0ab715e1e0ef23f63de0,3de82346b1e40c476785a7f20d23b6cc30d12664,9650a14012f9bf923c82091e076553435f1d5b0bf17739985004cc2add83d394,2b0e0cedc1de81170efe982822261841d10a2889128836758d89c79d4ec5bfca3e8dcd3be5fa7893c47f5c63ae943a6f07f15f9c77c5fcc883225841bb96b825
